season,team_name,lg_rank,mp,w,d,l,gf,ga,gd,pts
2023,Toronto FC,29,34,4,10,20,26,59,-33,22
2022,Toronto FC,27,34,9,7,18,49,66,-17,34
2021,Toronto FC,26,34,6,10,18,39,66,-27,28
2020,Toronto FC,2,23,13,5,5,33,26,7,44
2019,Toronto FC,9,34,13,11,10,57,52,5,50
2018,Toronto FC,19,34,10,6,18,59,64,-5,36
2017,Toronto FC,1,34,20,9,5,74,37,37,69
2016,Toronto FC,5,34,14,11,9,51,39,12,53
2015,Toronto FC,12,34,15,4,15,58,58,0,49
2014,Toronto FC,13,34,11,8,15,44,54,-10,41
2013,Toronto FC,17,34,6,11,17,30,47,-17,29
2012,Toronto FC,19,34,5,8,21,36,62,-26,23
2011,Toronto FC,16,34,6,15,13,36,59,-23,33
2010,Toronto FC,11,30,9,8,13,33,41,-8,35
2009,Toronto FC,12,30,10,9,11,37,46,-9,39
2008,Toronto FC,12,30,9,8,13,34,43,-9,35
2007,Toronto FC,13,30,6,7,17,25,49,-24,25
