team,average_home_matchday_attendance
Manchester City F.C.,"53,194"
Manchester United F.C.,"73,523"
Arsenal F.C.,"60,213"
Chelsea F.C.,"39,626"
Liverpool F.C.,"54,672"
Aston Villa F.C.,"41,783"
Tottenham Hotspur F.C.,"61,524"
West Ham United F.C.,"62,463"
Newcastle United F.C.,"52,158"
Everton F.C.,"39,063"
Crystal Palace,"24,797"
Nottingham Forest F.C.,"29,356"
Fulham F.C.,"24,290"
Brighton & Hove Albion,"31,517"
AFC Bournemouth,"11,085"
Brentford F.C.,"17,081"
Burnley F.C.,"21,168"
Wolverhampton Wanderers F.C.,"31,291"
Sheffield United F.C.,"30,269"
Luton Town F.C.,"11,113"
