team,market_value
Manchester City F.C.,1.27
Manchester United F.C.,0.73425
Arsenal F.C.,1.12
Chelsea F.C.,0.9283
Liverpool F.C.,0.9214
Aston Villa F.C.,0.6462
Tottenham Hotspur F.C.,0.7773
West Ham United F.C.,0.4466
Newcastle United F.C.,0.6377
Everton F.C.,0.3454
Crystal Palace,0.4047
Nottingham Forest F.C.,0.36965
Fulham F.C.,0.338
Brighton & Hove Albion,0.5051
AFC Bournemouth,0.3528
Brentford F.C.,0.42608
Burnley F.C.,0.2651
Wolverhampton Wanderers F.C.,0.3397
Sheffield United F.C.,0.14375
Luton Town F.C.,0.1251
